docente,nombre_del_capitulo,nombre_del_libro,pais,año,editorial,paginas,ISBN
MARCELES VILLALBA KATERINE,Serious game for learning sign language in Colombia,Serious Applications of Technology in Games and Health .,Colombia,2019,,51 - 61  N/A,978-958-5119-63-5
MARCELES VILLALBA KATERINE,Disminuyendo la brecha comunicacional con Beeth - Ear,Serious Applications of Technology in Games and Health .,Colombia,2019,,127 - 137  N/A,978-958-5119-63-5
MARCELES VILLALBA KATERINE,"Hero Test: Instrumento portable e interactivo de tamizaje auditivo, basado en metodología SUM",Serious Applications of Technology in Games and Health .,Colombia,2019,,137 - 147  N/A,978-958-5119-63-5
MARCELES VILLALBA KATERINE,"Crown The Virus, juego serio basado en metodología ágil para aprender de la crisis COVID-19",TECNOLOGÍAS APLICADAS A LA COMUNIDAD .,España,2022,,6 - 23  1,978-620-2-23570-9
MARCELES VILLALBA KATERINE,SAT EL OJITO,TECNOLOGÍAS APLICADAS A LA COMUNIDAD .,España,2022,,24 - 32  1,978-620-2-23570-9
MARCELES VILLALBA KATERINE,Aplicación web basada en tecnologia arduino y nfc para el registro y control de los biciusuarios: Unimayor biciapp,Tecnologías informáticas con enfoque social .,España,2023,,5 - 18  1,978-620-2-13367-8
MARCELES VILLALBA KATERINE,CO. EDUCATION: Herramienta Gamificada Basada en SCRUM para la enseñanza de ?Lengua Castellana? en niños con edades de 9 a 13 años de edad,Tecnologías informáticas con enfoque social .,España,2023,,50 - 65  1,978-620-2-13367-8
MARCELES VILLALBA KATERINE,", TECNOLOGIAS DEL APRENDIZAJE Y CONOCIMIENTO (TAC), POR MEDIO DE LA MODALIDAD B-LEARNING, PARA EL DESARROLLO DE UN OVA; COMO APORTE A LA SOCIEDAD DEL CONOCIMIENTO",Las Instituciones Educativas: Eslabones Vitales .,Colombia,2015,,337 - 353,9789585908734
MARCELES VILLALBA KATERINE,Inclusión de aplicativos móviles e procesos de aprendizaje en el área de seguridad informática,"¿ Apropiación, generación y uso edificador del conocimiento: ¿Reflexiones, investigaciones, programas, modelos, enfoques, tendencias, perspectivas, estrategias y metodologías, proyectos pedagógicos e investigativos¿ .",Colombia,2017,,-- - ---  --,9781945570445
MARCELES VILLALBA KATERINE,Alfabetización Digital ¿AD¿,EDUCACIÓN CIENTÍFICA E INCLUSIÓN SOCIODIGITAL .,Argentina,2017,Universidad De Alcala,928 - 945,978-84-16978-19-9
MARCELES VILLALBA KATERINE,Reflexiones integradoras en procesos de investigación y el aporte que realiza colciencias a los grupos de investigación en la educación superior,"¿ Apropiación, generación y uso edificador del conocimiento: ¿Reflexiones, investigaciones, programas, modelos, enfoques, tendencias, perspectivas, estrategias y metodologías, proyectos pedagógicos e investigativos¿ .",Colombia,2017,,45 - 55,9781945570445
MARCELES VILLALBA KATERINE,Cryptanalysis of the RSA Algorithm Under a System Distributed Using SBC Devices,"Telematics and Computing: 7th International Congress, WITCOM 2018, Mazatlán, Mexico, November 5-9, 2018, Proceedings (Communications in Computer and Information Science) .",Colombia,2018,Springer-Verlag Berlin/Heidelberg,14 - 23,978-3-030-03762-8
MARCELES VILLALBA KATERINE,Characterization of the Serious Games Applied to the Historical Heritage,"Telematics and Computing: 7th International Congress, WITCOM 2018, Mazatlán, Mexico, November 5-9, 2018, Proceedings (Communications in Computer and Information Science) .",México,2018,Springer-Verlag Berlin/Heidelberg,135 - 144,978-3-030-03762-8
MARCELES VILLALBA KATERINE,Recycling: A Serious Game Focused on the Classification of Waste,"Telematics and Computing: 7th International Congress, WITCOM 2018, Mazatlán, Mexico, November 5-9, 2018, Proceedings (Communications in Computer and Information Science) .",México,2018,Springer-Verlag Berlin/Heidelberg,234 - 245,978-3-030-03762-8
MARCELES VILLALBA KATERINE,Estudio de vulnerabilidades en las pequeñas y medianas empresas utilizando el IDS SNORT.,Innovación y tecnología informática en las organizaciones .,Colombia,2018,Universidad de Cuenca Ecuador,97 - 102,978-9942-27-088-7
MARCELES VILLALBA KATERINE,"GLOBALIZACIÓN Y EDUCACIÓN, UNA REFLEXIÓN HACIA LAS PERSPECTIVAS PARA UNA REVISIÓN DE LA RELACIÓN DE TECNOLOGÍAS DE LA INFORMACIÓN Y COMUNICACIÓN (TIC) Y LA SOCIEDAD","¿ Apropiación, generación y uso edificador del conocimiento: ¿Reflexiones, investigaciones, programas, modelos, enfoques, tendencias, perspectivas, estrategias y metodologías, proyectos pedagógicos e investigativos¿ .",Colombia,2018,,406 - 411,9781945570445
MARCELES VILLALBA KATERINE,Herramienta TIC enfocada al manejo adecuado del sembrado del Café: Coffe Fun,Memorias del seminario de innovaciones educativas y MOOC - SINNEM18 .,Colombia,2018,Centro Interamericano De Desarrollo E Investigacion Ambiental Y Territorial Cidiat,138 - 139,978-1-944645-88-5
RAMOS POLLAN RAUL,On the Representativeness of Convolutional Neural Networks Layers,Artificial Intelligence Research and Development .,Colombia,2016,,29 - 38,978-1-61499-696-5
RAMOS POLLAN RAUL,Classification of antimicrobial peptides with imbalanced datasets,Proceedings Of Spie - 11th International Symposium On Medical Information Processing And Analysis .,Colombia,2015,,1 - 8,9781628419160
RAMOS POLLAN RAUL,Feature Learning Using Stacked Autoencoders to Predict the Activity of Antimicrobial Peptides,Computational Methods in Systems Biology .,Colombia,2015,Springer Publishing Company,121 - 132,978-3-319-23400-7
RAMOS POLLAN RAUL,Convolutional neural networks for mammography mass lesion classification,Proceedings Of The Annual International Conference Of The Ieee Engineering In Medicine And Biology Society .,Colombia,2015,IEEE Publications,797 - 800,9781424492718
RAMOS POLLAN RAUL,Supervised Greedy Layer-Wise Training for Deep Convolutional Networks with Small Datasets,"Computational Collective Intelligence: 7th International Conference, ICCCI 2015, Madrid, Spain, September 21-23, 2015, Proceedings, Part I (Lecture Notes in Computer Science) .",Colombia,2015,Springer Publishing Company,275 - 288,978-3-319-24068-8
RAMOS POLLAN RAUL,Multidisciplinary Collaboration for the Development of Innovative Solutions in Health Care: The Case of the IMED Project,Challenges And Opportunities In Health Care Management .,Colombia,2014,,363 - 370,978-3-319-12177-2
RAMOS POLLAN RAUL,Distributed Cache Strategies for Machine Learning Classification Tasks over Cluster Computing Resources,"High Performance Computing: First HPCLATAM - CLCAR Latin American Joint Conference, CARLA 2014, Valparaiso, Chile, October 20-22, 2014. Proceedings (Communications in Computer and Information Science) .",Colombia,2014,Springer Publishing Company,45 - 53,978-3-662-45482-4
RAMOS POLLAN RAUL,High Throughput Location Proteomics in Confocal Images from the Human Protein Atlas Using a Bag-of-Features Representation,Advances In Computational Biology .,Colombia,2014,Springer,77 - 82,978-3-319-01567-5
RAMOS POLLAN RAUL,Benchmarking Datasets for Breast Cancer Computer-Aided Diagnosis (CADx),"Progress In Pattern Recognition, Image Analysis, Computer Vision, And Applications .",Colombia,2013,,326 - 333,9783642418211
RAMOS POLLAN RAUL,Bigs: A framework for large-scale image processing and analysis over distributed and heterogeneous computing resources,"E-Science (E-Science), 2012 Ieee 8th International Conference On .",Colombia,2012,,1 - 8,978-1-4673-4467-8
RAMOS POLLAN RAUL,A framework for high performance image analysis pipelines,"Computing Congress (Ccc), 2012 7th Colombian .",Colombia,2012,IEEE Publications,1 - 6,978-1-4673-1475-6
RAMOS POLLAN RAUL,Multidisciplinary Collaboration for the Development of Innovative Solutions in Health Care: The Case of the IMED Project,Challenges And Opportunities In Health Care Management .,Suiza,2014,,363 - 370,978-3-319-12177-2
RAMOS POLLAN RAUL,High Throughput Location Proteomics in Confocal Images from the Human Protein Atlas Using a Bag-of-Features Representation,Advances In Computational Biology .,Suiza,2014,Springer,77 - 82,978-3-319-01567-5
RAMOS POLLAN RAUL,GNSS Vulnerabilities,Multi-Technology Positioning .,Colombia,2017,Springer Publishing Company,55 - 77,978-3-319-50426-1
COBALEDA ESTEPA LUZ VIVIANA,MEDin Health Networking Everyone Everyday,Senseable City Guide To Medellín .,Colombia,2013,,35 - 50,9780983665441
COBALEDA ESTEPA LUZ VIVIANA,Definición de la arquitectura de referencia de un dominio: de la elucidación al modelado. ,International Conference on IT Convergence and Security .,Colombia,2018,IEEE Publications,193 - 210,9789587205060
COBALEDA ESTEPA LUZ VIVIANA,"Selección, personalización y aumento de componentes reutilizables de dominio para cada aplicación.",International Conference on IT Convergence and Security .,Colombia,2018,IEEE Publications,447 - 458,9789587205060
COBALEDA ESTEPA LUZ VIVIANA,Definición y personalización de la arquitectura de cada producto de la línea.,International Conference on IT Convergence and Security .,Colombia,2018,IEEE Publications,433 - 446,9789587205060
COBALEDA ESTEPA LUZ VIVIANA,Definición de la arquitectura de referencia de un dominio: de la elucidación al modelado,International Conference on IT Convergence and Security .,Colombia,2018,IEEE Publications,193 - 210,9789587205060
COBALEDA ESTEPA LUZ VIVIANA,MEDin Health Networking Everyone Everyday,Senseable City Guide To Medellín .,Estados Unidos,2013,SENSEable City Lab,35 - 50,9780983665441
LOPEZ HERRERA DIANA MARGOT,"Capítulo 7 Porcípolis: una experiencia transdisciplinaria de ciencia, tecnología, arte y educación para el sector agrario",2022: Abordajes innovadores en la investigación agropecuaria .,Colombia,2022,FONDO EDITORIAL BIOGENESIS,165 - 198  NO AP,978-628-7592-10-0
MAESTRE GONGORA GINA PAOLA,Identificación y análisis a los avances de la investigación relacionada con el gobierno de TI en PYMES: Una revisión,cccccccccccccc .,Colombia,2020,,201 - 210,9789585233348
MAESTRE GONGORA GINA PAOLA,Latin American Smart University: Key Factors for a User-Centered Smart Technology Adoption Model,Sustainable Intelligent Systems .,Singapur,2021,Springer Publishing Company,161 - 173,978-981-33-4901-8
BOTIA VALDERRAMA DIEGO JOSE LUIS,Cloud-Native Architecture for Distributed Systems that Facilitates Integration with AIOps Platforms,Advances in Computing .,,2023,Springer Publishing Company,318 - 329,978-3-031-47372-2
BOTIA VALDERRAMA JAVIER FERNANDO,Q-means clustering coherent noise tolerance analysis,Engineering for Transformation .,Colombia,2022,Fondo Editorial EIA,437 - 443,978-628-95287-1-8
RIVERA VELEZ FREDY ALEXANDER,Task Mapping in Heterogeneous NoC by Means of Population-Based Incremental Learning,"Advances in Intelligent Systems: Reviews. Book Series, Volumen 1 .",España,2017,,47 - 68,978-84-697-8924-7
LOPEZ VELEZ JOSE IGNACIO,"Proceso para configurar modelos de líneas de productos de manera incremental, interactiva y sensible al contexto incorporando recomendaciones",Hacia La Aplicación De La Reutilización Y La Variabilidad En La Industria Del Software En Colombia .,Colombia,2014,Ecoe Ediciones Universidad Javeriana,16 -,978-958-46-5857-9
LOPEZ VELEZ JOSE IGNACIO,Proceso de configuración como un proceso de ingeniería de requisitos,International Conference on IT Convergence and Security .,Colombia,2018,IEEE Publications,397 - 431,9789587205060
JIMENEZ RAMOS LUISA MARIA,Ingeniería de software y desarrollo sostenible: Un análisis bibliométrico,cccccccccccccc .,Colombia,2020,,95 - 104,9789585233348
JIMENEZ RAMOS LUISA MARIA,Identificación de activos de propiedad intelectual de las investigaciones de la facultad de ingeniería de la Corporación Universitaria Remington: Una alianza entre empresa y universidad para el fortalecimiento de la transferencia tecnológica.,"XXIII Congreso Internacional sobre Educación Bimodal, TELEDU2017 .",Colombia,2017,,305 - 319,978-958-59518-8-4
JIMENEZ RAMOS LUISA MARIA,Qué es Ingeniería,Ingeniería: Realidad de una disciplina .,Colombia,2018,,34 - 50,978-958-59127-8-6
DELGADO CADAVID MIRIAM CECILIA,Impact of Non-Functional Requirements on the Products Lines Lifecycle,TRANSDISCIPLINARY LIFECYCLE ANALYSIS OF SYSTEMS .,Colombia,2015,,298 - 307,978-1-61499-544-9
DELGADO CADAVID MIRIAM CECILIA,Herramientas de soporte para la ingeniería de líneas de productos,International Conference on IT Convergence and Security .,Colombia,2018,IEEE Publications,561 - 590,9789587205060
DUQUE RAMOS ASTRID,"Automated semantic annotator for information retrieval, based on biomedical ontologies",Engineering for Transformation .,Colombia,2022,FONDO EDITORIAL EIA,396 - 403,978-628-95287-1-8
DUQUE RAMOS ASTRID,Preliminary Analysis of the OBO Foundry Ontologies and Their Evolution Using OQuaRE,Informatics for Health: Connected Citizen-Led Wellness and Population Health .,Reino Unido,2017,,426 - 430,978-1-61499-752-8
GIL MORENO WILMER ALBERTO,Integración de elementos de juego para la gestión del conocimiento en ingeniería de software,Libro de Actas del congreso COMPDES2020 .,España,2020,Universidad De Alcala,381 - 388,9788418254703
GIL MORENO WILMER ALBERTO,Mecánicas de juego para la gestión del conocimiento en el marco de la industria 4.0,Industria 4.0: escenarios e impacto .,Colombia,2017,Senal Editora Y Universidad De Medellin,29 - 41,9789588992877
GUEVARA CALUME ROBERTO CARLOS,la ingeniería en Colombia,desarrollo e innovación en ingeniería .,Colombia,2018,,211 - 228  1,9789585912755
GUEVARA CALUME ROBERTO CARLOS,Revisión sistemática a los contenidos digitales interactivos elaborados con practicas ágiles,Investigación e innovación en Ingeniería de Software Volumen 2 .,Colombia,2018,Talleres Tecnológico de Antioquia,43 - 54  1,9789585992580
GUEVARA CALUME ROBERTO CARLOS,Impacto de Twitter en el big data y data mining,desarrollo e innovación en ingeniería .,Colombia,2018,,49 - 55  1,9789585912755
GUEVARA CALUME ROBERTO CARLOS,"Reconocimiento de patrones en ingeniería, una necesidad creciente y una oferta académica no satisfecha en instituciones de educación superior",desarrollo e innovación en ingeniería .,Colombia,2017,,319 - 332  1,9789585912755
GUEVARA CALUME ROBERTO CARLOS,Estilos de aprendizaje mediado por las tecnologías de la información y la comunicación,Revoluciónen la formación y la capacitación para el siglo XXI volumen 2- edición 2 .,Colombia,2019,,738 - 750  2,978-958-52333-3-1
GUEVARA CALUME ROBERTO CARLOS,El constructivismo y las TIC como aporte al proceso formativo del ingeniero,Las tecnologías de la información y la comunicación como estrategia mediadora en la formación del ingeniero .,Colombia,2022,,13 - 33  1,978-958-53797-3-2
GUEVARA CALUME ROBERTO CARLOS,Contribución a la disminución de la deserción en carreras del sector TIC,Las tecnologías de la información y la comunicación como estrategia mediadora en la formación del ingeniero .,Colombia,2022,,68 - 86  1,978-958-53797-3-2
GUEVARA CALUME ROBERTO CARLOS,Las TIC y los estilos de aprendizaje como aportación a la educación,Las tecnologías de la información y la comunicación como estrategia mediadora en la formación del ingeniero .,Colombia,2022,,90 - 110  1,978-958-53797-3-2
GUEVARA CALUME ROBERTO CARLOS,Formación del ingeniero de sistemas en la electrónica mediada por las TIC,Las tecnologías de la información y la comunicación como estrategia mediadora en la formación del ingeniero .,Colombia,2022,,113 - 132  1,978-958-53797-3-2
GUEVARA CALUME ROBERTO CARLOS,Reflexiones sobre las competencias transversales en la educación superior,Reflexiones sobre las competencias transversales en la educación superior .,Colombia,2023,Fondo Editorial Remington ¿ FER,67 - 78  1,978-628-95382-6-7-
GUEVARA CALUME ROBERTO CARLOS,Configuracion E implementacion de Redes de Datos Con direcionamiento IPV4 e IPV6,"Memorias Del Iii Simposio Nacional De Electrónica, Telecomunicaciones Y Ciencias De La Computación Etcc 2010 .",Colombia,2010,Instituto Tecnológico Metropolitano,111 - 122  1,978-958-8351-99-5
GUEVARA CALUME ROBERTO CARLOS,Concentración de redes Wifi en sitios céntricos ­ Caso de estudio Centro de la ciudad de Medellín Colombia,desarrollo e innovación en ingeniería .,Colombia,2015,,127 - 136  1,9789585912755
GUEVARA CALUME ROBERTO CARLOS,Software testing is more than an emergency plan,2nd International Conference On Communication Technology Icct 2015 .,Australia,2015,,45 - 54  1,978-1-60595-236-9
GUEVARA CALUME ROBERTO CARLOS,"Formación profesional en el campo de la seguridad informática, a través de sus componentes básicos",Revista Reflexiones y Saberes .,Colombia,2017,Católica del Norte Fundación Universitaria,42 - 54,2389-7511
TAMAYO HERRERA ANTONIO JESUS,Cuestiones Metodológicas y técnicas en la recolección de un corpus de prensa con la palabra pobreza,"Pobreza, Lenguaje y Medios: los casos de Argentina, Brasil, Colombia y México. .",Suiza,2017,Peter Lang Verlag,21 - 43,9783034321426
TAMAYO HERRERA ANTONIO JESUS,La especialización del discurso en los medios en Colombia: el caso de los fenómenos de reducción léxica en la prensa de la pobreza,"Pobreza, Lenguaje y Medios: los casos de Argentina, Brasil, Colombia y México. .",Suiza,2017,Peter Lang Verlag,175 - 195,9783034321426
TAMAYO HERRERA ANTONIO JESUS,"Corpus PoLaMe: metodología para la compilación de un corpus de prensa sobre pobreza de Argentina, Brasil, Colombia y México","La pobreza en la prensa: palabras clave en los diarios de Argentina, Brasil, Colombia y México .",Argentina,2019,Consejo Latinoamericano De Ciencias Sociales Clacso,31 - 40,978-987-722-418-4
TAMAYO HERRERA ANTONIO JESUS,"Corpus PoLaMe: metodologia para a compilação de um corpus de imprensa sobre pobreza na Argentina, Brasil, Colômbia e México","La pobreza en la prensa: palabras clave en los diarios de Argentina, Brasil, Colombia y México .",Argentina,2019,Consejo Latinoamericano De Ciencias Sociales Clacso,41 - 50,978-987-722-418-4
TAMAYO HERRERA ANTONIO JESUS,NLP-CIC at SemEval-2020 Task 9: Analysing sentiment in code-switching language using a simple deep-learning classifier,Proceedings of the Fourteenth Workshop on Semantic Evaluation .,República Checa,2020,,957 - 962,978-1-952148-31-6
TAMAYO HERRERA ANTONIO JESUS,Análisis de sentimientos a nivel de documento en un corpus de pobreza en Colombia: contraste de aspectos lingüísticos a partir de los resultados obtenidos con modelos de aprendizaje automático,El lenguaje de la pobreza : comunicación multifacética .,Argentina,2021,Consejo Latinoamericano De Ciencias Sociales Clacso,193 - 223,978-987-722-836-6
TAMAYO HERRERA ANTONIO JESUS,La especialización del discurso en los medios latinoamericanos: el caso de los fenómenos de reducción léxica en la prensa de la pobreza,El lenguaje de la pobreza : comunicación multifacética .,Argentina,2021,Consejo Latinoamericano De Ciencias Sociales Clacso,101 - 132,978-987-722-836-6
TAMAYO HERRERA ANTONIO JESUS,Hacia la estandarización de la evaluación en la extracción de términos,Terminología del español: el término/Spanish Terminology: The Term .,Estados Unidos,2024,Routledge (New York),223 - 242,9781003344339
TAMAYO HERRERA ANTONIO JESUS,CLEC - Corpus Colombiano de Aprendices de Inglés: primer corpus de producción escrita de aprendices de inglés en Colombia disponible en línea,"Digital Humanities, Corpus and Language Technology / Humanidades Digitales, Corpus y Tecnología del Lenguaje : A look from diverse case studies / Una mirada desde diversos casos de estudio .",,2023,University of Groningen Press,217 - 242,9789403430249
