docente,titulo,revista,año,volumen,paginas,autores,cuartil_revista
ARIAS LONDOÑO JULIAN DAVID,Protein disorder prediction using jumping motifs from torsion angles dynamics in ramachandran plots,"BIOINFORMATICS 2018 - 9th International Conference on Bioinformatics Models, Methods and Algorithms, Proceedings; Part of 11th International Joint Conference on Biomedical Engineering Systems and Technologies, BIOSTEC 2018",2018,3,38-48,"Alexander-Uribe, J. and Arias-Londoño, J.D. and Perera-Lluna, A.",
ARIAS LONDOÑO JULIAN DAVID,Automatic feature selection in the SOPFs dissolution profiles prediction problem,"BIOINFORMATICS 2017 - 8th International Conference on Bioinformatics Models, Methods and Algorithms, Proceedings; Part of 10th International Joint Conference on Biomedical Engineering Systems and Technologies, BIOSTEC 2017",2017,3,52-58,"Salazar-Jiménez, J.E. and Sánchez-Carvajal, J.D. and Quiros-Gómez, B. and Arias-Londoño, J.D.",
ARIAS LONDOÑO JULIAN DAVID,Fraud detection in big data using supervised and semi-supervised learning techniques,"2017 IEEE Colombian Conference on Communications and Computing, COLCOM 2017 - Proceedings",2017,,,"Melo-Acosta, G.E. and Duitama-Munoz, F. and Arias-Londono, J.D.",
ARIAS LONDOÑO JULIAN DAVID,Protein disorder prediction using information theory measures on the distribution of the dihedral torsion angles from ramachandran plots,"BIOINFORMATICS 2017 - 8th International Conference on Bioinformatics Models, Methods and Algorithms, Proceedings; Part of 10th International Joint Conference on Biomedical Engineering Systems and Technologies, BIOSTEC 2017",2017,3,43-51,"Uribe, J.A. and Arias-Londoño, J.D. and Perera-Lluna, A.",
ARIAS LONDOÑO JULIAN DAVID,Emotion recognition from speech under environmental noise conditions using wavelet decomposition,Proceedings - International Carnahan Conference on Security Technology,2016,2015-January,247-252,"Vasquez-Correa, J.C. and Garcia, N. and Orozco-Arroyave, J.R. and Arias-Londono, J.D. and Vargas-Bonilla, J.F. and Noth, E.",
ARIAS LONDOÑO JULIAN DAVID,Towards an automatic monitoring of the neurological state of Parkinson's patients from speech,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",2016,2016-May,6490-6494,"Orozco-Arroyave, J.R. and Vdsquez-Correa, J.C. and Honig, F. and Arias-Londono, J.D. and Vargas-Bonilla, J.F. and Skodda, S. and Rusz, J. and Noth, E.",
ARIAS LONDOÑO JULIAN DAVID,Automatic detection of Parkinson's disease from continuous speech recorded in non-controlled noise conditions,"Proceedings of the Annual Conference of the International Speech Communication Association, INTERSPEECH",2015,2015-January,105-109,"Vásquez-Correa, J.C. and Arias-Vergara, T. and Orozco-Arroyave, J.R. and Vargas-Bonilla, J.F. and Arias-Londoño, J.D. and N\""oth, E.",
ARIAS LONDOÑO JULIAN DAVID,Automatic emotion recognition in compressed speech using acoustic and non-linear features,"2015 20th Symposium on Signal Processing, Images and Computer Vision, STSIVA 2015 - Conference Proceedings",2015,,,"García, N. and Vásquez-Correa, J.C. and Arias-Londono, J.D. and Várgas-Bonilla, J.F. and Orozco-Arroyave, J.R.",
MAESTRE GONGORA GINA PAOLA,"Smart University: Big Data adoption model,Universidad inteligente: Modelo de adopci\~An de Big Data","Applications in Software Engineering - Proceedings of the 9th International Conference on Software Process Improvement, CIMPS 2020",2020,,52-60,"Rico-Bautista, D. and Medina-Cardenas, Y. and Areniz-Arevalo, Y. and Barrientos-Avendano, E. and Maestre-Gongora, G. and Guerrero, C.D.",
MAESTRE GONGORA GINA PAOLA,Smart university:IoT adoption model,"Proceedings of the World Conference on Smart Trends in Systems, Security and Sustainability, WS4 2020",2020,,821-826,"Rico-Bautista, D. and Maestre-Gongora, G. and Guerrero, C.D.",
MAESTRE GONGORA GINA PAOLA,Empirical evidence of Colombian national e-government programs' impact on local Smart City-Adoption,ACM International Conference Proceeding Series,2018,,517-525,"Maestre, G. and Astudillo, H. and Nieto, W. and Concha, G.",
MAESTRE GONGORA GINA PAOLA,"Systematic mapping study to identify trends in the application of smart technologies,Estudio de mapeo sistemático para identificar tendencias en la aplicación de Tecnologías Inteligentes","Iberian Conference on Information Systems and Technologies, CISTI",2018,2018-June,1-6,"Maestre-Gongora, G. and Colmenares-Quintero, R.F.",
ORTEGA LOBO OSCAR,EVOL-PLAYMAC Integración de una Técnica de Computación Evolutiva al Aprendizaje Computacional de un Juego de Tablero entre el Humano y la Máquina,,0,,,,
ORTEGA LOBO OSCAR,PAKDD - Ordered Estimation of Missing Values,,0,,,,
BOTIA VALDERRAMA DIEGO JOSE LUIS,"Study of the HTTP/2 protocol using the NodeJS platform,Estudio del protocolo HTTP/2 usando la plataforma NodeJS","CICIC 2020 - Decima Conferencia Iberoamericana de Complejidad, Informatica y Cibernetica, Memorias",2020,2,165-170,"Botia, D.J.L. and Giraldo, J.F. and Cadavid, S.",
BOTIA VALDERRAMA DIEGO JOSE LUIS,"Implementation of a home automation system based on an Internet of Things platform,Implementación de un sistema domótico basado en una plataforma de internet de las cosas","CISCI 2016 - Decima Quinta Conferencia Iberoamericana en Sistemas, Cibernetica e Informatica, Decimo Tercer Simposium Iberoamericano en Educacion, Cibernetica e Informatica, SIECI 2016 - Memorias",2016,,331-337,"Botia, D.J.L. and Patiño, R. and Ospina, E. and Aristizabal, J.",
BOTIA VALDERRAMA DIEGO JOSE LUIS,"Evaluation of infrastructure systems as a service under the Cloud Computing scheme,Evaluación de Sistemas de Infraestructura como un Servicio bajo el esquema de Computación en la Nube","CICIC 2015 - Quinta Conferencia Iberoamericana de Complejidad, Informatica y Cibernetica, Memorias",2015,,155-160,"Botia, D.J.L. and Charry, A.F. and Tirado, J.D. and Mejia, A.A.",
BOTIA VALDERRAMA DIEGO JOSE LUIS,"Application of non-intrusive methods based on BPNN (Backpropagation Artificial Neural Network) and RNN (Random Neural Network) for the evaluation of Quality of Experience (QoE),Aplicación de Métodos No Intrusivos basados en BPNN (Backpropagation Artificial Neural Network) y RNN (Random Neural Network) para la evaluación de la Calidad de la Experiencia (QoE)","CICIC 2014 - Cuarta Conferencia Iberoamericana de Complejidad, Informatica y Cibernetica, Memorias",2014,,112-118,"Valderrama, D.J.L.B. and Goméz, N.G.",
BOTIA VALDERRAMA DIEGO JOSE LUIS,Strategies for improving the QoE assessment over iTV platforms based on QoS metrics,"Proceedings - 2012 IEEE International Symposium on Multimedia, ISM 2012",2012,,483-484,"Botia, D.J. and Gaviria, N.",
BOTIA VALDERRAMA DIEGO JOSE LUIS,Approach to requirements analysis applied to an interactive digital television system iDTV,"2011 6th Colombian Computing Congress, CCC 2011",2011,,,"Botia Valderrama, D.J.L. and Urrego Giraldo, G.",
BOTIA VALDERRAMA DIEGO JOSE LUIS,"Evaluation of QoS/QoE metrics applied to iDTV systems,Evaluación de metricas de QoS/QoE aplicadas a sistemas de iDTV","CICIC 2011 - Conferencia Iberoamericana de Complejidad, Informatica y Cibernetica, Memorias",2011,,21-27,"Valderrama, D.J.L.B. and Gomez, N.G.",
BOTIA VALDERRAMA JAVIER FERNANDO,Low cost all optical discrete multi-tone modulation using a fabry-perot laser comb,"Latin America Optics and Photonics Conference, LAOP 2014",2014,,,"Villarreal, G.D. and Hernández, E. and Botía, J.F. and Cárdenas, A.M.",
BOTIA VALDERRAMA JAVIER FERNANDO,Methodology of LC-SLM for filtering and phase spectral recovering of GVD and SPM in the ultra-short pulse propagation through single-mode fiber,"2014 IEEE Colombian Conference on Communications and Computing, COLCOM 2014 - Conference Proceedings",2014,,,"Madronero, J.E. and Cardenas, A.M. and Botia, J.F.",
BOTIA VALDERRAMA JAVIER FERNANDO,Fuzzy entropies by adequacy and non-adequacy applied to the analysis of combs spectra stability,"2013 IEEE International Conference on Computational Intelligence and Virtual Environments for Measurement Systems and Applications, CIVEMSA 2013 - Proceedings",2013,,174-179,"Botía, J.F. and Yepes, H.D. and Cárdenas, A.M. and Quintero, G.",
BOTIA VALDERRAMA JAVIER FERNANDO,Performance of WDM-PON system based on optical frequency comb generation,"2013 IEEE Colombian Conference on Communications and Computing, COLCOM 2013 - Conference Proceedings",2013,,,"Villarreal, G.D. and Cárdenas, A.M. and Botía, J.F.",
BOTIA VALDERRAMA JAVIER FERNANDO,GVD and SPM optimization in optical fiber using a hybrid method,"2012 IEEE Colombian Communications Conference, COLCOM 2012 - Conference Proceedings",2012,,,"Botía, J.F. and Cárdenas, A.M. and Quintero, G.",
DUQUE RAMOS ASTRID,Analysis of the evolution of ontologies using OQuaRE: Application to EDAM,CEUR Workshop Proceedings,2015,1515,,"Quesada-Martínez, M. and Duque-Ramos, A. and Fernández-Breis, J.T.",
MONTOYA GOMEZ EDISON ALEJANDRO,A preface to the 70\&amp;70 Gravity Fest,Journal of Physics: Conference Series,2017,831,,"Gutiérrez-Piñeres, A.C. and Montoya, E.A. and Núñez, L.A.",
MONTOYA GOMEZ EDISON ALEJANDRO,Effective vacuum bianchi IX in loop quantum cosmology,Springer Proceedings in Physics,2014,157,573-577,"Corichi, A. and Karami, A. and Montoya, E.",
MONTOYA GOMEZ EDISON ALEJANDRO,Loop quantum cosmology: Anisotropy and singularity resolution,Springer Proceedings in Physics,2014,157,469-477,"Corichi, A. and Karami, A. and Montoya, E.",
MONTOYA GOMEZ EDISON ALEJANDRO,Qualitative effective dynamics in Bianchi II loop quantum cosmology,AIP Conference Proceedings,2012,1473,113-117,"Corichi, A. and Montoya, E.",
MONTOYA GOMEZ EDISON ALEJANDRO,A first approach to hydrodynamics in general relativistic systems using SPH,AIP Conference Proceedings,2010,1256,326-333,"Cruz-Pérez, J.P. and González, J.A. and Montoya, E.",
