docente,titulo,pais,revista,año,mes,paginas,editorial,DOI,ISSN,URL,volumen,numero,autores,cuartil_revista
MARCELES VILLALBA KATERINE,PRUEBAS DE CONCEPTO AUTOMATIZADO SOBRE APLICACIONES WEB UTILIZANDO RASPBERRY PI,Ecuador,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2019,,648 - 659,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,RECYCLING: A SERIOUS GAME FOCUSED ON THE CLASSIFICATION OF WASTE,México,COMMUNICATIONS IN COMPUTER AND INFORMATION SCIENCE,2018,,234 - 245,Springer Science and Business Media Deutschland GmbH,10.1007/978-3-030-03763-5,1865-0929,,,,,Q3
MARCELES VILLALBA KATERINE,SAFE-PRO: HERRAMIENTA DE ENTRETENAMIENTO Y APRENDIZAJE EN SEGURIDAD INFORMÁTICA,Ecuador,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2021,,289 - 302,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,SECURITY VALIDATION WITH OWASP MOBILE FOR THE DATA PROTECTION IN ORAL HEALTH,México,Journal Of Circuits Systems And Computers,2017,,136 - 144,Editorial Pax Mexico,,1870-4069,,,,,Q3
MARCELES VILLALBA KATERINE,SELECCIÓN DE INDICADORES PARA LA IMPLEMENTACIÓN DE UN IDS EN PYMES,Colombia,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2020,,777 - 785,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,SERVICIO DE NAVEGACIÓN ANÓNIMA BASADA EN UN RASPBERRY PI,Colombia,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2020,,587 - 597,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,SINSEÑAS: MOBILE APPLICATION FOR LEARNING AND TRANSLATION OF COLOMBIAN SIGN LANGUAGE,Colombia,Ingeniería Y Competitividad,2024,,1 - 11,Centro Editorial De La Universidad Del Valle,10.25100/iyc,2027-8284,,,,,
MARCELES VILLALBA KATERINE,SISTEMA DE RIEGO CON TECNOLOGÍA IOT:SMART DRIP SYSTEM,Ecuador,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2019,,121 - 133,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,SISTEMA PARA LA DETECCIÓN Y SEGUIMIENTO DE AFECCIONES CARDÍACAS SOPORTADO EN SBC,Ecuador,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2019,,717 - 728,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,SISTEMA SOFTWARE PARA LA EJECUCIÓN DE PRUEBAS DE USABILIDAD BAJO EL ENFOQUE DE MOUSE TRACKING - USABILITY TESTING SOFTWARE IMPLEMENTING MOUSE TRACKING,Colombia,TecnoLógicas,2019,,19 - 31,Instituto Tecnológico Metropolitano,10.22430/22565337.1511,2256-5337,,,,,
MARCELES VILLALBA KATERINE,"SISTEMA UNIFICADO DE AMENAZAS, BASADO EN CLÚSTER DE SBC DE BAJO COSTO",Colombia,RISTI REVISTA IBERICA DE SISTEMAS E TECNOLOGIAS DE INFORMACAO,2020,,413 - 425,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),,1646-9895,,,,,Q4
MARCELES VILLALBA KATERINE,"SYSTEMATIC REVIEW FOR THE CONSTRUCTION OF AN ARCHITECTURE WITH EMERGING IOT TECHNOLOGIES, ARTIFICIAL INTELLIGENCE TECHNIQUES, MONITORING AND STORAGE OF MALICIOUS TRAFFIC",España,IEEE REVISTA IBEROAMERICANA DE TECNOLOGIAS DEL APRENDIZAJE IEEE RITA,2022,,386 - 392,IEEE Education Society,10.1109/RITA.2022.3217183,1932-8540,,,,,
MARCELES VILLALBA KATERINE,VALIDATION OF CYBERSECURITY FRAMEWORK FOR THREAT MITIGATION,Colombia,REVISTA FACULTAD DE INGENIERIA UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,2022,,1 - 21,,10.19053/01211129.v31.n62.2022.14840,0121-1129,,,,,
MATURANA GONZALEZ GRISSA VIANNEY,SISDEON: UN SISTEMA DE INFORMACIÓN SOBRE EL DESPLAZAMIENTO FORZADO EN COLOMBIA MEDIANTE EL USO DE ONTOLOGÍAS,Colombia,Avances En Sistemas E Informática,2009,,163 - 168,Universidad Nacional De Colombia Sede Medellin,,1657-7663,,,,,
MERA BANGUERO CARLOS ANDRES,A BAG OVERSAMPLING APPROACH FOR CLASS IMBALANCE IN MULTIPLE INSTANCE LEARNING,Suiza,LECTURE NOTES IN COMPUTER SCIENCE,2015,,724 - 731,springer verlag,10.1007/978-3-319-25751-8_87,0302-9743,,,,,Q2
MERA BANGUERO CARLOS ANDRES,A METHOD FOR ASSESSING THE ACCESSIBILITY AND USABILITY IN MOBILE APPLICATIONS,Colombia,TecnoLógicas,2020,,99 - 117,Instituto Tecnológico Metropolitano,10.22430/22565337.1553,2256-5337,https://revistas.itm.edu.co/index.php/tecnologicas/article/view/1553,,,,
MERA BANGUERO CARLOS ANDRES,A SURVEY ON CLASS IMBALANCE LEARNING ON AUTOMATIC VISUAL INSPECTION,,IEEE Latin America Transactions,2014,,657-667,Ieee Computer Society,10.1109/TLA.2014.6868867,1548-0992,,12.0,4,"Mera, C. and Branch, J.W.",Q2
MERA BANGUERO CARLOS ANDRES,ADAPTIVE CLASSIFICATION USING INCREMENTAL LEARNING FOR SEISMIC-VOLCANIC SIGNALS WITH CONCEPT DRIFT,,,2021,,1 - 14,Elsevier,10.1016/j.jvolgeores.2021.107211,0377-0273,,,,,
MERA BANGUERO CARLOS ANDRES,ANTIMICROBIAL PEPTIDES DESIGNED BY COMPUTATIONAL ANALYSIS OF PROTEOMES,,Antonie van Leeuwenhoek,2024,,1 - 14,Springer Netherlands,10.1007/s10482-024-01946-0,1572-9699,https://doi.org/10.1007/s10482-024-01946-0,,,Dahiana Monsalve; Andrea Mesa; Laura M. Mira; Carlos Mera; Sergio Orduz; John W. Branch-Bedoya,Q3
MERA BANGUERO CARLOS ANDRES,ASSESSMENT OF SEGMENTATION METHODS FOR PORE DETECTION IN CELLULAR CONCRETE IMAGES,,"2019 XXII Symposium on Image, Signal Processing and Artificial Vision (STSIVA)",2019,,,,10.1109/stsiva.2019.8730220,,http://dx.doi.org/10.1109/stsiva.2019.8730220,,,,
MERA BANGUERO CARLOS ANDRES,AUTOMATIC VISUAL INSPECTION: AN APPROACH WITH MULTI-INSTANCE LEARNING,Inglaterra,Computers in Industry ,2016,,46 - 54,Elsevier,http://dx.doi.org/10.1016/j.compind.2016.09.002,0166-3615,http://www.sciencedirect.com/science/article/pii/S0166361516301750,83.0,,Carlos Mera and Mauricio Orozco-Alzate and John Branch and Domingo Mery,Q1
MERA BANGUERO CARLOS ANDRES,DISEÑO Y EVALUACIÓN DE UNA MÁQUINA DE INTELIGENCIA ARTIFICIAL PARA LA PREDICCIÓN DE PÉPTIDOS ANTIMICROBIANOS A PARTIR DE SECUENCIAS DE PROTEÍNAS,Colombia,Infectio,2018,,69 - 69,Asociacion Colombiana De Infectologia,0123-9392,0123-9392,http://www.revistainfectio.org/index.php/infectio/issue/view/91,,,,Q2
MERA BANGUERO CARLOS ANDRES,EVALUATION OF WEAKLY SUPERVISED LEARNING PARADIGMS ON AUTOMATIC VISUAL INSPECTION,,IEEE Latin America Transactions,2020,jun,1017--1025,Institute of Electrical and Electronics Engineers (IEEE),10.1109/tla.2020.9099678,1548-0992,https://doi.org/10.1109%2Ftla.2020.9099678,18.0,06,Jose Arrieta and Carlos Mera and Albeiro Espinosa,Q3
MERA BANGUERO CARLOS ANDRES,GENERACIÓN DE PÉPTIDOS ANTIMICROBIANOS MEDIANTE REDES NEURONALES RECURRENTES,,DYNA,2021,,,,10.15446/dyna.v88n216.88799,,https://doi.org/10.15446/dyna.v88n216.88799,,,Andres Veléz; Carlos Andres Mera; Sergio Orduz; John Willian Branch,
MERA BANGUERO CARLOS ANDRES,IMPROVING REPRESENTATION OF THE POSITIVE CLASS IN IMBALANCED MULTIPLE-INSTANCE LEARNING,,,2014,,266 - 273,springer verlag,10.1007/978-3-319-11758-4_29,0302-9743,,,,,
MERA BANGUERO CARLOS ANDRES,INCREMENTAL LEARNING OF CONCEPT DRIFT IN MULTIPLE INSTANCE LEARNING FOR INDUSTRIAL VISUAL INSPECTION,,Computers in Industry,2019,,153 - 164,Elsevier,10.1016/j.compind.2019.04.006,0166-3615,http://dx.doi.org/10.1016/j.compind.2019.04.006,,,,Q1
MERA BANGUERO CARLOS ANDRES,POROSITY ESTIMATION AND PORE STRUCTURE CHARACTERIZATION OF FOAMED CEMENT PASTE USING NON-SPECIALIZED IMAGE DIGITAL PROCESSING,Suiza,MATERIALS AND STRUCTURES,2022,,1 - 13,Springer Netherlands,10.1617/s11527-022-02031-6,1871-6873,,,,,Q1
MERA BANGUERO CARLOS ANDRES,SYNTHETIC ANTIMICROBIAL PEPTIDES GENERATION USING RECURRENT NEURAL NETWORKS,Colombia,DYNA,2021,,210 - 219,Universidad Nacional de Colombia,10.15446/dyna.v88n221.88799,0012-7353,,,,,
MERA BANGUERO CARLOS ANDRES,SÍNTESIS DE IMAGEN MÉDICA POSTCONTRASTE EN ESTUDIOS DE DCE-MRI DE MAMA USANDO APRENDIZAJE PROFUNDO,Colombia,TecnoLógicas,2024,,1 - 20,Instituto Tecnológico Metropolitano,10.22430/22565337.2992,2256-5337,,,,,
MERA BANGUERO CARLOS ANDRES,USANDO DIFERENCIAS EN LA ESTIMACIÓN DE MOVIMIENTO,Colombia,Revista Colombiana de Computación,2007,,62--78,Universidad Autonoma De Bucaramanga,,1657-2831,,8.0,2,"Mera, Carlos and Trujillo, Maria",
MERA BANGUERO CARLOS ANDRES,USING DISPERSION MEASURES FOR DETERMINING BLOCK-SIZE IN MOTION ESTIMATION,Colombia,DYNA,2012,,97 - 104,Universidad Nacional de Colombia,,0012-7353,,,,,
MERA BANGUERO CARLOS ANDRES,USING DISPERSION MEASURES FOR DETERMINING BLOCK-SIZE IN-MOTION ESTIMATION | USANDO MEDIDAS DE DISPERSIÓN PARA DETERMINAR EL TAMAÑO DEL BLOQUE EN LA ESTIMACIÓN DE MOVIMIENTO,,DYNA (Colombia),2012,,97-104,,,,,79.0,171,"Mera, C. and Trujillo, M.",Q2
MERA BANGUERO CARLOS ANDRES,VIRE-YOUTUBE: VISUALIZACIÓN DE RESULTADOS DE BÚSQUEDA EN YOUTUBE,Colombia,Avances En Sistemas E Informática,2009,,135 - 143,Universidad Nacional De Colombia Sede Medellin,,1657-7663,,,,,
MERA BANGUERO CARLOS ANDRES,VIRE-YOUTUBE: VISUALIZANDO LOS RESULTADOS DE BÚSQUEDAS EN YOUTUBE,,Avances en Sistemas e Informática,2009,,135--143,Escuela de Ingenieria de Sistemas,,,,6.0,1,"Mera, Carlos and Therón, Roberto",
MERA BANGUERO CARLOS ANDRES,VISUALIZACIÓN DE CONJUNTOS DE DATOS DE MÚLTIPLES INSTANCIAS,Portugal,Risti,2020,,84 - 99,Associacao Iberica de Sistemas e Tecnologias de Informacao (AISTI),10.17013/risti.39.84-99,1646-9895,http://www.scielo.mec.pt/pdf/rist/n39/n39a07.pdf,,,,
MONTOYA GOMEZ EDISON ALEJANDRO,A FIRST APPROACH TO HYDRODYNAMICS IN GENERAL RELATIVISTIC SYSTEMS USING SPH,,,2010,,326 - 333,American Institute of Physics,http://dx.doi.org/10.1063/1.3473873,0094-243X,,,,,
MONTOYA GOMEZ EDISON ALEJANDRO,COHERENT SEMICLASSICAL STATES FOR LOOP QUANTUM COSMOLOGY,,"Physical Review D - Particles, Fields, Gravitation and Cosmology",2011,,044021-1 - 044021-21,American Institute of Physics,http://dx.doi.org/10.1103/PhysRevD.84.044021,0556-2821,,84.0,4,"Corichi, A. and Montoya, E.",
MONTOYA GOMEZ EDISON ALEJANDRO,DESCRIPTION OF THE EVOLUTION OF INHOMOGENEITIES ON A DARK MATTER HALO WITH THE VLASOV EQUATION,,General Relativity and Gravitation,2017,,1 - 39,Springer New York,https://doi.org/10.1007/s10714-017-2286-8,0001-7701,,49.0,9,"Domínguez-Fernández, P. and Jiménez-Vázquez, E. and Alcubierre, M. and Montoya, E. and Núñez, D.",Q2
MONTOYA GOMEZ EDISON ALEJANDRO,EFFECTIVE DYNAMICS IN BIANCHI TYPE II LOOP QUANTUM COSMOLOGY,,"Physical Review D - Particles, Fields, Gravitation and Cosmology",2012,,104052-1 - 104052-16,American Institute of Physics,http://dx.doi.org/10.1103/PhysRevD.85.104052,0556-2821,,85.0,10,"Corichi, A. and Montoya, E.",
MONTOYA GOMEZ EDISON ALEJANDRO,EFFECTIVE VACUUM BIANCHI IX IN LOOP QUANTUM COSMOLOGY,,,2014,,5 -,,,0930-8989,,,,,
MONTOYA GOMEZ EDISON ALEJANDRO,LOOP QUANTUM COSMOLOGY OF BIANCHI IX: EFFECTIVE DYNAMICS,Colombia,Classical and Quantum Gravity,2017,,1 - 21,IOP Publishing Ltd,10.1088/1361-6382/aa54c5,1361-6382,,34.0,5,"Corichi, A. and Montoya, E.",Q1
MONTOYA GOMEZ EDISON ALEJANDRO,LOOP QUANTUM COSMOLOGY: ANISOTROPY AND SINGULARITY RESOLUTION,,,2014,,1 -,,,0930-8989,,,,,
MONTOYA GOMEZ EDISON ALEJANDRO,ON THE SEMICLASSICAL LIMIT OF LOOP QUANTUM COSMOLOGY,,International Journal of Modern Physics D,2012,,1250076-1 - 1250076-18,World Scientific Publ Co Pte Ltd,10.1142/S0218271812500769,0218-2718,,21.0,9,"Corichi, A. and Montoya, E.",Q2
MONTOYA GOMEZ EDISON ALEJANDRO,QUALITATIVE EFFECTIVE DYNAMICS IN BIANCHI II LOOP QUANTUM COSMOLOGY,,,2012,,113 - 117,American Institute of Physics,http://dx.doi.org/10.1063/1.4748542,0094-243X,,,,,
MONTOYA GOMEZ EDISON ALEJANDRO,SUBAGING IN UNDERPARAMETRIZED DEEP NEURAL NETWORKS,,Machine Learning: Science and Technology,2022,,,,,,,3.0,3,"Segura, C.H. and Montoya, E. and Tapias, D.",Q1
MONTOYA MONTOYA RONAL DAVILMAR,A SIMPLE METHOD TO ESTIMATE RELATIVE PERMITTIVITY AND TANGENT LOSS OF PRINTED CIRCUIT BOARD MATERIALS,Chile,IEEE LATIN AMERICA TRANSACTIONS,2013,,1 - 5,Ieee Computer Society,10.1109/LatinCom.2013.6759821,1548-0992,,,,,Q3
MONTOYA MONTOYA RONAL DAVILMAR,DISEÑO OPTIMIZADO DE ANTENA TIPO PARCHE PARA EL ESTÁNDAR DE TRANSMISIÓN INALÁMBRICA WIMAX A LA FRECUENCIA DE 3.5 GHZ MEDIANTE ALGORITMOS GENÉTICOS,Ecuador,Memorias De Las Jornadas De Sistemas De Telecomunicaciones,2008,,67 - 74,,,1390-3608,,,,,
MONTOYA MONTOYA RONAL DAVILMAR,ESTIMACIÓN DE LA PERMITIVIDAD RELATIVA DE LÁMINAS DE CIRCUITO IMPRESO CON DIELÉCTRICO DE FIBRA DE VIDRIO PARA APLICACIONES UHF,Colombia,TecnoLógicas,2013,,555 - 562,Instituto Tecnológico Metropolitano,ISSN 0123-7799,0123-7799,,,,,
MONTOYA MONTOYA RONAL DAVILMAR,SIMPLIFIED PATH LOSS LOGNORMAL SHADOW FADING MODEL VS. A SUPPORT VECTOR MACHINE-BASED REGRESSOR COMPARISON FOR DETERMINING RECEPTION POWERS IN WLAN NETWORKS,,ADVANCES IN INTELLIGENT SYSTEMS AND COMPUTING,2021,,431 - 441,Springer Science and Business Media Deutschland GmbH,10.1007/978-3-030-68285-9_41,2194-5365,,,,,Q4
MUNERA RAMIREZ DANNY ALEXANDRO,ANOMALY CLASSIFICATION IN INDUSTRIAL INTERNET OF THINGS: A REVIEW,,Intelligent Systems with Applications,2023,,,,10.1016/j.iswa.2023.200232,,https://doi.org/10.1016/j.iswa.2023.200232,,,Martha Rodríguez; Diana P. Tobón; Danny Múnera,Q2
MUNERA RAMIREZ DANNY ALEXANDRO,DATA QUALITY IN IOT-BASED AIR QUALITY MONITORING SYSTEMS: A SYSTEMATIC MAPPING STUDY,,"Water, Air, & Soil Pollution",2023,,1 - 23,Springer Netherlands,10.1007/s11270-023-06127-9,0049-6979,https://bibliotecadigital.udea.edu.co/handle/10495/35006,,,Danny Munera,Q2
MUNERA RAMIREZ DANNY ALEXANDRO,DQ-MAN: A TOOL FOR MULTI-DIMENSIONAL DATA QUALITY ANALYSIS IN IOT-BASED AIR QUALITY MONITORING SYSTEMS,,Internet of Things,2023,,1 - 18,Elsevier,10.1016/j.iot.2023.100769,2542-6605,https://bibliotecadigital.udea.edu.co/handle/10495/35075,,,Danny Munera,Q1
MUNERA RAMIREZ DANNY ALEXANDRO,IOT-BASED AIR QUALITY MONITORING SYSTEMS FOR SMART CITIES: A SYSTEMATIC MAPPING STUDY,Indonesia,International Journal of Electrical and Computer Engineering,2021,,3470-3482,Institute of Advanced Engineering and Science (IAES),10.11591/ijece.v11i4.pp3470-3482,2088-8708,,11.0,4,"Múnera, D. and Diana P. Tobón, V. and Aguirre, J. and Gómez, N.G.",Q2
MUNERA RAMIREZ DANNY ALEXANDRO,"UML2SC: A TOOL FOR DEVELOPING COMPLEX ELECTRONIC SYSTEMS USING UML AND SYSTEMC,UML2SC: HERRAMIENTA PARA EL DISEÑO DE SISTEMAS ELECTRÓNICOS COMPLEJOS UTILIZANDO LOS LENGUAJES UML Y SYSTEMC",,Revista Facultad de Ingenieria,2009,,165-173,,,,,,48,"Correa, B.A. and Eusse, J.F. and Múnera, D. and Sepúlveda, S. and Vélez, J.F. and Aedo, J.E.",Q4
MUNERA RAMIREZ DANNY ALEXANDRO,UML2SC: HERRAMIENTA PARA EL DISEÑO DE SISTEMAS ELECTRÓNICOS COMPLEJOS UTILIZANDO LOS LENGUAJES UML Y SYSTEMC,Colombia,REVISTA FACULTAD DE INGENIERIA UNIVERSIDAD DE ANTIOQUIA,2009,,165 - 173,Universidad De Antioquia,,0120-6230,,,,,Q4
ORTEGA LOBO OSCAR,AGRUPAMIENTO DE RESULTADOS OBTENIDOS DE BÚSQUEDAS HECHAS SOBRE LA WEB PARA UN CATÁLOGO DE ACCESO PÚBLICO EN LÍNEA,Colombia,Dyna,0,,50 - 54,Universidad Nacional de Colombia,,0012-7353,https://lens.org/088-801-416-140-297,,,Andrés Marín Lopera and Oscar Ortega Lobo and John William Branch,
ORTEGA LOBO OSCAR,ESTIMACIÓN DE CURVATURAS Y DIRECCIONES PRINCIPALES EN NUBE DE PUNTOS NO ORGANIZADOS,,Dyna,0,September,,,,,https://lens.org/166-111-668-718-875,,,Esmeide A Leal Narváez and John William Branch and Oscar Ortega Lobo,
ORTEGA LOBO OSCAR,EVOL-PLAYMAC INTEGRACIÓN DE UNA TÉCNICA DE COMPUTACIÓN EVOLUTIVA AL APRENDIZAJE COMPUTACIONAL DE UN JUEGO DE TABLERO ENTRE EL HUMANO Y LA MÁQUINA,Colombia,Avances En Sistemas E Informática,2006,,31 - 35,Universidad Nacional De Colombia Sede Medellin,,1657-7663,,,,,
ORTEGA LOBO OSCAR,IMPROVING NURBS SURFACE SHARP FEATURE REPRESENTATION,India,International Journal of Computational Intelligence Research,0,,131 - 138,,10.5019/j.ijcir.2007.97,0973-1873,https://lens.org/101-307-797-786-707,,,Nallig Leal and Oscar Ortega Lobo and John William Branch,
ORTEGA LOBO OSCAR,LA GESTIÓN DEL CONOCIMIENTO EN LAS EMPRESAS DE SERVICIOS MEDELLÍN,Colombia,"Investigación Bibliotecológica: archivonomía, bibliotecología e información",0,July,63 - 90,Universidad Nacional Autonoma de México,10.22201/iibi.0187358xp.2003.35.4023,0187-358X,https://lens.org/070-078-712-833-852,,,María Teresa Múnera Torres and Adriana Mejía Correa and José Gregorio Franco Gómez and Ángel Pabon and Regina Arilog and Oscar Ortega Lobo,
ORTEGA LOBO OSCAR,OPTIMIZACIÓN DE COBERTURA INALÁMBRICA EN INTERIORES MEDIANTE ALGORITMOS EVOLUTIVOS MULTIOBJETIVO,Colombia,Revista En Telecomunicaciones E Informática,2011,,11 - 21,Editorial Upb,,2215-8200,,,,,
ORTEGA LOBO OSCAR,ORDERED ESTIMATION OF MISSING VALUES FOR PROPOSITIONAL LEARNING,Colombia,Journal Of Japanese Society For Artificial Intelligence,2000,,162 - 168,,,0912-8085,,,,,
ORTEGA LOBO OSCAR,SISTEMA DE BÚSQUEDA PERSONALIZADA Y RECOMENDACIÓN DE DOCUMENTACIÓN CIENTÍFICA,Colombia,INTELIGENCIA ARTIFICIAL IBEROAMERICAL JOURNAL OF ARTIFICIAL INTELLIGENCE,2006,,25 - 41,Asociacion Espanola de Inteligencia Artificial,,1137-3601,,,,,
ORTEGA LOBO OSCAR,SUITABLE DOMAINS FOR USING ATTRIBUTE TREES TO IMPUTE MISSING VALUES,Colombia,IEICE TRANSACTIONS ON INFORMATION AND SYSTEMS,2001,,262 - 270,"Maruzen Co., Ltd/Maruzen Kabushikikaisha",,0916-8532,,,,,Q4
ORTEGA LOBO OSCAR,SUITABLE DOMAINS FOR USING ORDERED ATTRIBUTE TREES TO IMPUTE MISSING VALUES,,IEICE Transactions on Information and Systems,0,February,,,,,https://lens.org/046-243-091-640-99X,,,Oscar Ortega Lobo,
ORTIZ GARCIA RONALD AKERMAN,ANÁLISIS DE LA PRODUCCIÓN DE PRODUCTOS ALIMENTICIOS TIPO SNACKS MEDIANTE SIMULACIÓN DE EVENTOS DISCRETOS EN UNA EMPRESA DE MEDELLÍN. ANALYSIS OF THE PRODUCTION OF SNACK-TYPE FOOD PRODUCTS BY MEANS OF SIMULATION OF DISCRETE EVENTS IN A COMPANY IN MEDELLÍN,Colombia,PROSPECTIVA,2019,,25 - 32,Universidad Autonoma Del Caribe,10.15665/rp.v17i1.1794,1692-8261,,,,,
ORTIZ GARCIA RONALD AKERMAN,ANÁLISIS DEL PROCESO PRODUCTIVO EN UNA EMPRESA DE PLÁSTICOS USANDO SIMULACIÓN DISCRETA,Colombia,Avances Investigación en Ingeniería,2019,,36 - 51,Publicaciones Universidad Libre,10.18041/1794-4953/avances.1.5203,1794-4953,https://doi.org/10.18041/1794-4953/avances.1.5203,,,David Zapata Chaves; Ronald Akerman Ortíz García; Daniela Guerra Ocampo,
ORTIZ GARCIA RONALD AKERMAN,MODELACIÓN Y SIMULACIÓN DE COMPORTAMIENTOS HUMANOS EN SITUACIONES DE EMERGENCIA EN UN CALL CENTER: UNA REVISIÓN CRÍTICA DE LITERATURA,Colombia,USBMed,2018,,97 - 111,UNIVERSIDAD DE SAN BUENAVENTURA,10.21500/20275846.3329,2027-5846,http://dx.doi.org/10.21500/20275846.3329,,,,
QUINTANA GOMEZ JUAN FELIPE,APROXIMACIÓN AL LENGUAJE DE LA CRUELDAD,,Affectio Societatis,1999,,,,,,https://dialnet.unirioja.es/servlet/articulo?codigo=5029946,,,Juan Felipe Arroyave Gómez,
QUINTANA GOMEZ JUAN FELIPE,"CONJETURA, MITO Y RAZÓN",,Revista Psicoespacios,2009,,,,,,https://dialnet.unirioja.es/servlet/articulo?codigo=5012827,,,Juan Felipe Arroyave Gómez,
QUINTANA GOMEZ JUAN FELIPE,EN LA PERSPECTIVA DE UNA CULTURA AFECTIVA: LA PERTINENCIA DE LAS PASIONES ORDINARIAS DE DAVID LE BRETON DOS DÉCADAS DESPUÉS,,Revista Artes de Educar,2023,,,,,,https://www.e-publicacoes.uerj.br/riae/article/view/80838,,,Juan Felipe Arroyave Gómez,
QUINTANA GOMEZ JUAN FELIPE,"LAS VERSIONES DE MISHIMA: LENGUAJE, ACTO Y CUERPO",,Affectio Societatis,1999,,,,,,https://revistas.udea.edu.co/index.php/affectiosocietatis/article/view/5420,,,Juan Felipe Arroyave Gómez,
QUINTANA GOMEZ JUAN FELIPE,"MEMORIA DE LOS COMBATES, COMBATES DE LA MEMORIA",,Revista Katharsis,2009,,,,,,https://dialnet.unirioja.es/servlet/articulo?codigo=5527384,,,Juan Felipe Arroyave Gómez,
QUINTANA GOMEZ JUAN FELIPE,"SEMBLANZA DEL CUERPO EN EL ARTE ACTUAL: LA MEDIDA DE UN GOCE, EL RASGO DE UNA CRUDEZA",,Desde el Jardín de Freud: revista de psicoanálisis,2002,,,,,,https://repositorio.unal.edu.co/handle/unal/47430,,,Juan Felipe Arroyave Gómez,
QUINTANA GOMEZ JUAN FELIPE,"TERRITORIO, CUERPO Y DESEO",,Revista Katharsis,2009,,,,,,https://dialnet.unirioja.es/servlet/articulo?codigo=5527355,,,Juan Felipe Arroyave Gómez,
QUINTANA GOMEZ JUAN FELIPE," ""¿QUIÉN QUIERE SER MAESTRO? ESTUDIO PREVIO PARA LA IMPLEMENTACIÓN DE UN PROGRAMA DE EDUCACIÓN EN LA INSTITUCIÓN UNIVERSITARIA DE ENVIGADO""",,Revista Katharsis,2012,,,,,,https://bibliotecadigital.iue.edu.co/xmlui/handle/20.500.12717/2177,,,Juan Felipe Arroyave Gómez,
QUINTANA GOMEZ JUAN FELIPE, RETRATOS DE LA ANOMIA. DE LOS ROSTROS DE LA ANOMIA DECIMONÓNICA A LAS MÁSCARAS DE UNA ANOMIA HÍBRIDA,,Revista Katharsis,2012,,,,,,https://dialnet.unirioja.es/servlet/articulo?codigo=5527481,,,Juan Felipe Arroyave Gómez,
RAMOS POLLAN RAUL,A COMPREHENSIVE ASSESSMENT OF IONOSPHERIC GRADIENTS OBSERVED IN ECUADOR DURING 2013 AND 2014 FOR GROUND BASED AUGMENTATION SYSTEMS,Venezuela,ELSEVIER OCEAN ENGINEERING SERIES,2017,,1 - 15,Elsevier Ltd.,https://doi.org/10.1016/j.asr.2017.02.001,1571-9952,,,,,
RAMOS POLLAN RAUL,A SOFTWARE FRAMEWORK FOR BUILDING BIOMEDICAL MACHINE LEARNING CLASSIFIERS THROUGH GRID COMPUTING RESOURCES,Suiza,JOURNAL OF MEDICAL SYSTEMS,2012,,2245 - 2257,Springer New York,10.1007/s10916-011-9692-3,1573-689X,,,,,Q3
RAMOS POLLAN RAUL,A TARGETED SEARCH FOR POINT SOURCES OF EEV PHOTONS WITH THE PIERRE AUGER OBSERVATORY,Ecuador,JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS,2017,,1 - 7,IOP Publishing Ltd,https://doi.org/10.3847/2041-8213/aa61a5,1475-7516,,,,,Q2
RAMOS POLLAN RAUL,ACCELERATING COMMON MACHINE LEARNING ALGORITHMS THROUGH GPGPU SYMBOLIC COMPUTING,Colombia,PROCEEDINGS OF THE IEEE,2015,,387 - 391,Ieee Inst Electrical Electronics Engineers Inc,https://doi.org/10.1109/ColumbianCC.2015.7333450,0018-9219,,,,,Q1
RAMOS POLLAN RAUL,ASSESSING THE BEHAVIOR OF MACHINE LEARNING METHODS TO PREDICT THE ACTIVITY OF ANTIMICROBIAL PEPTIDES,Italia,REVISTA FACULTAD DE INGENIERIA UNIVERSIDAD PEDAGOGICA Y TECNOLOGICA DE COLOMBIA,2017,,1 - 20,,http://dx.doi.org/10.19053/01211129,0121-1129,,,,,
