docente,nombre_del_capitulo,nombre_del_libro,pais,año,editorial,paginas,ISBN,DOI,URL,autores
MAESTRE GONGORA GINA PAOLA,IDENTIFICACIÓN Y ANÁLISIS A LOS AVANCES DE LA INVESTIGACIÓN RELACIONADA CON EL GOBIERNO DE TI EN PYMES: UNA REVISIÓN,cccccccccccccc .,Colombia,2020,,201 - 210,9789585233348,,,
MAESTRE GONGORA GINA PAOLA,KEY TECHNOLOGY ADOPTION INDICATORS FOR SMART UNIVERSITIES: A PRELIMINARY PROPOSAL,Intelligent Sustainable Systems,,2022,Springer Singapore,651--663,,10.1007/978-981-16-6309-3_61,https://doi.org/10.1007%2F978-981-16-6309-3_61,Dewar Rico-Bautista and César D. Guerrero and César A. Collazos and Gina Maestre-Gongora and María Camila Sánchez-Velásquez and Yurley Medina-Cárdenas and Diana Teresa Parra-Sánchez and Antón Garcia Barreto and Jose Swaminathan
MAESTRE GONGORA GINA PAOLA,LATIN AMERICAN SMART UNIVERSITY: KEY FACTORS FOR A USER-CENTERED SMART TECHNOLOGY ADOPTION MODEL,Sustainable Intelligent Systems .,Singapur,2021,Springer Publishing Company,161 - 173,978-981-33-4901-8,,,
MAESTRE GONGORA GINA PAOLA,SMART UNIVERSITY: KEY FACTORS FOR A CLOUD COMPUTING ADOPTION MODEL,,,2022,,,,10.1007/978-981-16-6369-7_8,https://doi.org/10.1007/978-981-16-6369-7_8,Dewar Rico-Bautista; César D. Guerrero; César A. Collazos; Gina Maestre-Gongora; María Camila Sánchez-Velásquez; Yurley Medina-Cárdenas; Jose Swaminathan
MAESTRE GONGORA GINA PAOLA,SMART UNIVERSITY: KEY FACTORS FOR AN ARTIFICIAL INTELLIGENCE ADOPTION MODEL,,,2021,,,,10.1007/978-981-33-4565-2_10,https://doi.org/10.1007/978-981-33-4565-2_10,Dewar Rico-Bautista; Yurley Medina-Cardenas; Luis Anderson Coronel-Rojas; Fabian Cuesta-Quintero; Gina Maestre-Gongora; Cesar D. Guerrero
MARCELES VILLALBA KATERINE,APLICACIÓN WEB BASADA EN TECNOLOGIA ARDUINO Y NFC PARA EL REGISTRO Y CONTROL DE LOS BICIUSUARIOS: UNIMAYOR BICIAPP,Tecnologías informáticas con enfoque social .,España,2023,,5 - 18  1,978-620-2-13367-8,,,
MARCELES VILLALBA KATERINE,CO. EDUCATION: HERRAMIENTA GAMIFICADA BASADA EN SCRUM PARA LA ENSEÑANZA DE ?LENGUA CASTELLANA? EN NIÑOS CON EDADES DE 9 A 13 AÑOS DE EDAD,Tecnologías informáticas con enfoque social .,España,2023,,50 - 65  1,978-620-2-13367-8,,,
MARCELES VILLALBA KATERINE,"CROWN THE VIRUS, JUEGO SERIO BASADO EN METODOLOGÍA ÁGIL PARA APRENDER DE LA CRISIS COVID-19",TECNOLOGÍAS APLICADAS A LA COMUNIDAD .,España,2022,,6 - 23  1,978-620-2-23570-9,,,
MARCELES VILLALBA KATERINE,DISMINUYENDO LA BRECHA COMUNICACIONAL CON BEETH - EAR,Serious Applications of Technology in Games and Health .,Colombia,2019,,127 - 137  N/A,978-958-5119-63-5,,,
MARCELES VILLALBA KATERINE,"HERO TEST: INSTRUMENTO PORTABLE E INTERACTIVO DE TAMIZAJE AUDITIVO, BASADO EN METODOLOGÍA SUM",Serious Applications of Technology in Games and Health .,Colombia,2019,,137 - 147  N/A,978-958-5119-63-5,,,
MARCELES VILLALBA KATERINE,IMPLEMENTACIÓN DE UNA ESTRATEGIA DIDÁCTICA PARA EL MANEJO DE RESIDUOS EN EL PROCESO DE FORMACIÓN DE BÁSICA PRIMARIA,Ingeniería Colaborativa aplicaciones y uso desde la perspectiva de la interacción Humano Computador .,Colombia,2019,Editorial Bonaventuriana,498 - 506,978-958-8414-57-9,,,
MARCELES VILLALBA KATERINE,SAT EL OJITO,TECNOLOGÍAS APLICADAS A LA COMUNIDAD .,España,2022,,24 - 32  1,978-620-2-23570-9,,,
MARCELES VILLALBA KATERINE,SERIOUS GAME FOR LEARNING SIGN LANGUAGE IN COLOMBIA,Serious Applications of Technology in Games and Health .,Colombia,2019,,51 - 61  N/A,978-958-5119-63-5,,,
MERA BANGUERO CARLOS ANDRES,ANALYSIS OF~THE~GENERATION OF~A~SYNTHETIC RESPONSE TO~THE~APPLICATION OF~CONTRAST AGENTS IN~BREAST MEDICAL IMAGES USING GENERATIVE ADVERSARIAL NETWORKS,"Smart Technologies, Systems and Applications",,2022,Springer International Publishing,332--344,,10.1007/978-3-030-99170-8_24,https://doi.org/10.1007%2F978-3-030-99170-8_24,Jaider Stiven Rincón and Carlos Mera and Rubén Fonnegra and Gloria M. Díaz
MUNERA RAMIREZ DANNY ALEXANDRO,DATA QUALITY ESTIMATION IN A SMART CITY\TEXTQUOTESINGLES AIR QUALITY MONITORING IOT APPLICATION,2021 2nd Sustainable Cities Latin America Conference (SCLA),,2021,IEEE,,,10.1109/scla53004.2021.9540154,https://doi.org/10.1109%2Fscla53004.2021.9540154,Julio H. Buelvas P. and Fernando E. Avila B. and Natalia Gaviria G. and Danny A. Munera R.
MUNERA RAMIREZ DANNY ALEXANDRO,SISTEMA EXPERTO DIFUSO PARA LA CARACTERIZACIÓN DEL RIESGO EN SALUD POR CONTAMINACIÓN DE AIRE,"Proceedings of the 19th LACCEI International Multi-Conference for Engineering, Education, and Technology: \textquotedblleftProspective and trends in technology and skills for sustainable social development\textquotedblright \textquotedblleftLeveraging emerging technologies to construct the future\textquotedblright",,2021,Latin American and Caribbean Consortium of Engineering Institutions,,,10.18687/laccei2021.1.1.662,https://doi.org/10.18687%2Flaccei2021.1.1.662,Stefanía Franco and Danny Múnera
MUNERA RAMIREZ DANNY ALEXANDRO,SOLVING QAP WITH AUTO-PARAMETERIZATION IN PARALLEL HYBRID METAHEURISTICS,Communications in Computer and Information Science,,2021,Springer International Publishing,294--309,,10.1007/978-3-030-85672-4_22,https://doi.org/10.1007%2F978-3-030-85672-4_22,Jonathan Duque and Danny A. Múnera and Daniel Díaz and Salvador Abreu
SALAZAR SANCHEZ MARIA BERNARDA,AREAS WITH THE HIGHEST USE OF SIMULATOR FOR HEALTH EDUCATION IN COLOMBIA,Communications in Computer and Information Science,Colombia,2019,Springer International Publishing,643--652,9783030310196,10.1007/978-3-030-31019-6_54,https://doi.org/10.1007%2F978-3-030-31019-6_54,Maria Bernarda Salazar-Sánchez and Alher Mauricio Hernández-Valdivieso and Carolina Rodríguez-López and Juan Camilo Mesa-Agudelo and Isabel Cristina Muñoz-Ortega and Leidy Yaneth Serna-Higuita and Luis Felipe Buitrago-Castro
SALAZAR SANCHEZ MARIA BERNARDA,CARDIORESPIRATORY SYSTEM MODELING IN PATIENTS INTOXICATED WITH ORGANOPHOSPHORUS COMPOUNDS,Encuentro Internacional de Educación en Ingeniería 2019,,2019,,,,,,"Sánchez, María Bernarda Salazar and Valdivieso, Alher Mauricio Hernández"
SALAZAR SANCHEZ MARIA BERNARDA,"DISEÑO DE UN PROTOTIPO WEB PORTABLE PARA EL SENSADO, ADQUISICIÓN Y VISUALIZACIÓN DE DIFERENTES SEÑALES VÍA REMOTA",¿LA FORMACIÓN DE INGENIEROS: UN COMPROMISO PARA EL DESARROLLO Y LA SOSTENIBILIDAD¿ .,Colombia,2020,Acofi Icfes,279 -,9789586800884,,,
SALAZAR SANCHEZ MARIA BERNARDA,WEB APPLICATION FOR THE TEACHING OF ANATOMY AND PHYSIOLOGY OF THE RESPIRATORY SYSTEM: USABILITY MEASUREMENT AND METRICS,Communications in Computer and Information Science,Colombia,2020,Springer International Publishing,409--419,978-3-030-61833-9,10.1007/978-3-030-61834-6_35,https://doi.org/10.1007%2F978-3-030-61834-6_35,Luis Felipe Buitrago-Castro and Maria Bernarda Salazar-Sánchez and Alher Mauricio Hernández-Valdivieso
SALAZAR SANCHEZ MARIA BERNARDA,WORK OF BREATHING ESTIMATION DURING SPONTANEOUS BREATHING TEST USING MACHINE LEARNING TECHNIQUES,"2020 IEEE Colombian Conference on Applications of Computational Intelligence, ColCACI 2020 - Proceedings .",Colombia,2020,IEEE Publications,1 - 6,9781728194066,,,
